rider_id,avg_delivery_time,total_orders,night_orders,weekend_orders,avg_order_value,workload_index,burnout_score,burnout_level,cluster
C1659,39.0,1,0,1,1072.0,0.3333333333333333,36.0,Low,0
C1663,101.0,1,1,0,1548.0,0.3333333333333333,50.0,Medium,0
C1666,42.0,1,0,0,1255.0,0.3333333333333333,72.0,High,0
C1667,79.0,1,0,1,1604.0,0.3333333333333333,34.0,Low,0
C1671,87.0,1,0,0,1811.0,0.3333333333333333,27.0,Low,0
C1688,35.0,1,1,0,1547.0,0.3333333333333333,66.0,Medium,0
C1698,76.0,2,1,2,1197.5,0.6666666666666666,27.0,Low,1
C1699,57.0,1,0,0,1761.0,0.3333333333333333,67.0,Medium,0
C1716,113.0,1,1,1,351.0,0.3333333333333333,38.0,Low,2
C1717,105.0,1,0,0,1031.0,0.3333333333333333,28.000000000000004,Low,2
C1728,83.5,2,1,0,1267.0,0.6666666666666666,5.0,Low,1
C1760,33.0,1,0,0,1816.0,0.3333333333333333,22.0,Low,0
C1768,83.0,1,1,0,948.0,0.3333333333333333,39.0,Low,2
C1769,40.0,1,0,0,1800.0,0.3333333333333333,52.0,Medium,0
C1770,71.0,1,1,0,1931.0,0.3333333333333333,39.0,Low,0
C1775,86.0,1,0,1,126.0,0.3333333333333333,11.0,Low,2
C1784,62.0,1,1,0,1639.0,0.3333333333333333,44.0,Medium,0
C1793,53.0,1,0,0,899.0,0.3333333333333333,50.0,Medium,0
C1814,95.0,1,1,0,1251.0,0.3333333333333333,41.0,Medium,2
C1823,45.0,1,0,0,1221.0,0.3333333333333333,43.0,Medium,0
C1825,34.0,1,0,0,1953.0,0.3333333333333333,46.0,Medium,0
C1827,104.0,1,0,0,286.0,0.3333333333333333,85.0,High,2
C1830,110.0,1,0,0,1648.0,0.3333333333333333,35.0,Low,0
C1846,92.0,1,1,0,1687.0,0.3333333333333333,0.0,Low,0
C1851,58.0,1,1,1,1674.0,0.3333333333333333,34.0,Low,0
C1853,93.0,1,1,0,1235.0,0.3333333333333333,55.00000000000001,Medium,2
C1854,107.0,1,1,0,1849.0,0.3333333333333333,62.0,Medium,0
C1860,35.0,1,1,0,986.0,0.3333333333333333,72.0,High,2
C1863,46.0,1,0,0,1093.0,0.3333333333333333,71.0,High,0
C1876,91.0,2,1,1,835.5,0.6666666666666666,39.0,Low,1
C1878,41.0,1,1,0,1016.0,0.3333333333333333,48.0,Medium,2
C1918,67.0,1,0,0,1426.0,0.3333333333333333,70.0,High,0
C1922,84.0,1,1,0,655.0,0.3333333333333333,56.00000000000001,Medium,2
C1924,90.0,1,0,0,1835.0,0.3333333333333333,27.0,Low,0
C1928,73.0,1,0,0,1843.0,0.3333333333333333,66.0,Medium,0
C1950,97.0,1,0,0,674.0,0.3333333333333333,56.00000000000001,Medium,2
C1951,100.0,1,1,0,934.0,0.3333333333333333,79.0,High,2
C1953,38.0,1,1,0,1409.0,0.3333333333333333,18.0,Low,0
C1956,55.0,1,0,0,1346.0,0.3333333333333333,33.0,Low,0
C1966,81.0,1,0,1,1741.0,0.3333333333333333,40.0,Medium,0
C1980,110.0,1,0,1,1419.0,0.3333333333333333,39.0,Low,0
C1984,97.0,1,0,0,1959.0,0.3333333333333333,23.0,Low,0
C1995,117.0,1,0,0,450.0,0.3333333333333333,45.0,Medium,2
C2015,118.0,1,1,0,372.0,0.3333333333333333,52.0,Medium,2
C2016,65.0,1,1,0,1523.0,0.3333333333333333,60.0,Medium,0
C2021,113.0,1,1,0,579.0,0.3333333333333333,59.0,Medium,2
C2028,99.0,1,1,0,118.0,0.3333333333333333,36.0,Low,2
C2045,110.0,1,0,0,1391.0,0.3333333333333333,28.999999999999996,Low,0
C2059,117.0,1,0,0,269.0,0.3333333333333333,34.0,Low,2
C2060,63.0,1,0,1,1027.0,0.3333333333333333,34.0,Low,0
C2062,52.5,2,2,0,1352.5,0.6666666666666666,46.0,Medium,1
C2063,68.0,1,1,1,992.0,0.3333333333333333,36.0,Low,2
C2065,89.0,1,0,0,1183.0,0.3333333333333333,45.0,Medium,0
C2066,81.0,1,0,1,1857.0,0.3333333333333333,27.0,Low,0
C2069,115.0,1,0,0,827.0,0.3333333333333333,65.0,Medium,2
C2077,34.0,1,0,0,546.0,0.3333333333333333,34.0,Low,2
C2081,77.0,1,1,0,944.0,0.3333333333333333,37.0,Low,2
C2120,46.0,1,0,1,118.0,0.3333333333333333,25.0,Low,2
C2122,62.0,1,0,0,1922.0,0.3333333333333333,56.99999999999999,Medium,0
C2148,100.0,1,1,0,1268.0,0.3333333333333333,52.0,Medium,2
C2150,65.0,1,0,0,1341.0,0.3333333333333333,75.0,High,0
C2154,48.0,1,1,1,1051.0,0.3333333333333333,55.00000000000001,Medium,2
C2167,63.0,1,1,1,414.0,0.3333333333333333,43.0,Medium,2
C2184,88.5,2,0,2,583.0,0.6666666666666666,10.0,Low,1
C2191,37.0,1,0,0,1856.0,0.3333333333333333,68.0,Medium,0
C2202,61.0,1,0,0,1511.0,0.3333333333333333,56.00000000000001,Medium,0
C2205,91.0,1,0,0,552.0,0.3333333333333333,73.0,High,2
C2214,62.0,1,0,1,1167.0,0.3333333333333333,70.0,High,0
C2218,84.0,1,1,0,465.0,0.3333333333333333,88.0,High,2
C2248,48.0,1,0,1,1085.0,0.3333333333333333,63.0,Medium,0
C2252,114.0,1,0,0,236.0,0.3333333333333333,62.0,Medium,2
C2256,61.0,1,0,1,171.0,0.3333333333333333,25.0,Low,2
C2267,55.0,1,1,0,1867.0,0.3333333333333333,40.0,Medium,0
C2276,88.0,1,0,1,977.0,0.3333333333333333,77.0,High,2
C2291,116.0,1,0,0,932.0,0.3333333333333333,57.99999999999999,Medium,2
C2296,41.0,1,0,0,602.0,0.3333333333333333,30.0,Low,2
C2306,94.0,1,0,0,793.0,0.3333333333333333,61.0,Medium,2
C2324,92.0,1,0,1,1590.0,0.3333333333333333,40.0,Medium,0
C2331,59.0,1,0,1,636.0,0.3333333333333333,33.0,Low,2
C2342,89.0,1,1,1,801.0,0.3333333333333333,6.0,Low,2
C2353,31.0,1,0,1,714.0,0.3333333333333333,36.0,Low,2
C2365,89.0,2,0,1,623.5,0.6666666666666666,28.000000000000004,Low,1
C2409,101.0,1,0,0,1209.0,0.3333333333333333,37.0,Low,0
C2460,79.0,2,1,1,662.5,0.6666666666666666,3.0,Low,1
C2484,102.0,1,0,0,750.0,0.3333333333333333,67.0,Medium,2
C2495,51.0,1,0,0,956.0,0.3333333333333333,46.0,Medium,0
C2528,37.0,1,0,0,1890.0,0.3333333333333333,72.0,High,0
C2531,85.0,2,1,0,799.0,0.6666666666666666,65.0,Medium,1
C2540,75.0,1,0,1,880.0,0.3333333333333333,24.0,Low,2
C2542,107.0,1,1,0,707.0,0.3333333333333333,41.0,Medium,2
C2571,73.0,1,1,0,1378.0,0.3333333333333333,68.0,Medium,0
C2581,41.0,1,0,0,1356.0,0.3333333333333333,72.0,High,0
C2585,90.0,1,1,0,398.0,0.3333333333333333,33.0,Low,2
C2604,39.0,1,1,0,756.0,0.3333333333333333,48.0,Medium,2
C2605,69.0,1,1,1,1902.0,0.3333333333333333,48.0,Medium,0
C2619,106.0,1,1,0,1331.0,0.3333333333333333,36.0,Low,0
C2625,77.0,1,0,0,981.0,0.3333333333333333,91.0,High,0
C2633,69.0,1,1,1,1703.0,0.3333333333333333,24.0,Low,0
C2636,31.0,1,1,1,292.0,0.3333333333333333,45.0,Medium,2
C2645,101.0,1,1,1,300.0,0.3333333333333333,85.0,High,2
C2646,97.0,1,0,1,1487.0,0.3333333333333333,34.0,Low,0
C2648,107.0,1,0,0,1338.0,0.3333333333333333,36.0,Low,0
C2663,94.0,1,0,0,1013.0,0.3333333333333333,34.0,Low,2
C2664,115.0,1,1,0,1205.0,0.3333333333333333,59.0,Medium,2
C2678,57.0,1,1,1,1685.0,0.3333333333333333,44.0,Medium,0
C2679,38.0,1,1,1,1011.0,0.3333333333333333,38.0,Low,2
C2685,79.0,1,0,0,868.0,0.3333333333333333,59.0,Medium,2
C2686,69.0,1,1,0,1136.0,0.3333333333333333,70.0,High,2
C2687,48.0,1,0,1,1195.0,0.3333333333333333,42.0,Medium,0
C2693,39.5,2,1,1,1419.0,0.6666666666666666,46.0,Medium,1
C2707,75.0,1,0,0,1557.0,0.3333333333333333,39.0,Low,0
C2733,107.0,1,0,0,129.0,0.3333333333333333,42.0,Medium,2
C2734,42.0,1,0,1,1561.0,0.3333333333333333,0.0,Low,0
C2757,44.0,1,0,0,1000.0,0.3333333333333333,46.0,Medium,0
C2759,75.0,1,0,0,723.0,0.3333333333333333,30.0,Low,2
C2761,39.0,1,0,0,1572.0,0.3333333333333333,63.0,Medium,0
C2792,46.0,1,1,0,891.0,0.3333333333333333,45.0,Medium,2
C2802,50.0,1,1,0,395.0,0.3333333333333333,57.99999999999999,Medium,2
C2810,58.0,1,0,0,1303.0,0.3333333333333333,67.0,Medium,0
C2816,110.0,1,0,0,1216.0,0.3333333333333333,71.0,High,0
C2828,100.0,1,0,0,484.0,0.3333333333333333,48.0,Medium,2
C2838,54.0,1,0,0,1238.0,0.3333333333333333,22.0,Low,0
C2841,59.0,1,1,0,130.0,0.3333333333333333,43.0,Medium,2
C2843,102.0,1,0,0,1661.0,0.3333333333333333,56.99999999999999,Medium,0
C2852,85.0,1,0,0,1360.0,0.3333333333333333,47.0,Medium,0
C2853,49.0,1,1,0,1017.0,0.3333333333333333,47.0,Medium,2
C2854,34.0,1,1,0,1899.0,0.3333333333333333,34.0,Low,0
C2865,39.0,1,0,0,518.0,0.3333333333333333,37.0,Low,2
C2887,46.0,1,1,1,239.0,0.3333333333333333,80.0,High,2
C2895,66.0,1,0,0,138.0,0.3333333333333333,80.0,High,2
C2899,35.0,1,0,0,1822.0,0.3333333333333333,49.0,Medium,0
C2906,85.0,2,1,0,1117.0,0.6666666666666666,0.0,Low,1
C2908,114.0,1,0,0,948.0,0.3333333333333333,86.0,High,2
C2917,63.0,1,1,0,1956.0,0.3333333333333333,33.0,Low,0
C2930,62.0,1,1,0,1279.0,0.3333333333333333,50.0,Medium,0
C2931,54.0,1,0,0,1080.0,0.3333333333333333,34.0,Low,0
C2959,77.0,1,1,0,1934.0,0.3333333333333333,23.0,Low,0
C2970,31.0,1,0,0,1571.0,0.3333333333333333,92.0,High,0
C2976,42.0,1,0,0,1835.0,0.3333333333333333,44.0,Medium,0
C2986,53.0,1,0,0,841.0,0.3333333333333333,15.0,Low,2
C2990,42.0,1,1,0,449.0,0.3333333333333333,32.0,Low,2
C2994,47.0,1,1,1,628.0,0.3333333333333333,43.0,Medium,2
C2997,37.0,1,1,0,489.0,0.3333333333333333,78.0,High,2
C2998,118.0,1,1,1,670.0,0.3333333333333333,23.0,Low,2
C3000,89.0,1,0,1,157.0,0.3333333333333333,21.0,Low,2
C3026,52.0,1,0,0,1613.0,0.3333333333333333,23.0,Low,0
C3027,116.0,1,1,1,1556.0,0.3333333333333333,40.0,Medium,0
C3047,106.0,1,0,1,789.0,0.3333333333333333,38.0,Low,2
C3048,67.5,2,1,0,959.0,0.6666666666666666,0.0,Low,1
C3049,93.0,1,0,0,1041.0,0.3333333333333333,33.0,Low,0
C3060,87.0,1,1,0,777.0,0.3333333333333333,62.0,Medium,2
C3062,109.0,1,1,0,265.0,0.3333333333333333,36.0,Low,2
C3065,105.0,1,0,0,1575.0,0.3333333333333333,28.000000000000004,Low,0
C3079,43.0,1,1,0,1774.0,0.3333333333333333,41.0,Medium,0
C3082,112.0,1,1,0,819.0,0.3333333333333333,10.0,Low,2
C3105,118.0,1,0,0,1906.0,0.3333333333333333,63.0,Medium,0
C3116,32.0,1,0,0,1287.0,0.3333333333333333,67.0,Medium,0
C3125,116.0,1,0,0,988.0,0.3333333333333333,62.0,Medium,2
C3136,79.0,1,1,0,105.0,0.3333333333333333,77.0,High,2
C3141,83.0,1,0,0,444.0,0.3333333333333333,0.0,Low,2
C3143,36.0,1,0,1,407.0,0.3333333333333333,51.0,Medium,2
C3156,95.0,1,0,0,1234.0,0.3333333333333333,61.0,Medium,0
C3180,74.0,1,0,0,1101.0,0.3333333333333333,41.0,Medium,0
C3190,117.0,1,0,0,125.0,0.3333333333333333,53.0,Medium,2
C3192,73.0,1,0,1,1128.0,0.3333333333333333,50.0,Medium,0
C3193,52.0,1,0,1,1129.0,0.3333333333333333,55.00000000000001,Medium,0
C3200,52.0,1,0,0,311.0,0.3333333333333333,49.0,Medium,2
C3204,110.0,1,0,0,1522.0,0.3333333333333333,44.0,Medium,0
C3205,51.0,1,0,0,1481.0,0.3333333333333333,70.0,High,0
C3219,94.0,1,1,1,1332.0,0.3333333333333333,48.0,Medium,0
C3243,52.0,1,0,0,1103.0,0.3333333333333333,60.0,Medium,0
C3255,35.0,1,0,1,1362.0,0.3333333333333333,48.0,Medium,0
C3327,95.5,2,0,1,1041.0,0.6666666666666666,21.0,Low,1
C3336,34.0,1,0,1,1614.0,0.3333333333333333,15.0,Low,0
C3368,53.0,1,0,0,291.0,0.3333333333333333,98.0,High,2
C3371,56.0,1,1,1,480.0,0.3333333333333333,25.0,Low,2
C3385,89.0,1,1,0,1131.0,0.3333333333333333,70.0,High,2
C3393,98.0,1,0,0,1556.0,0.3333333333333333,69.0,Medium,0
C3427,37.0,1,0,0,944.0,0.3333333333333333,33.0,Low,0
C3433,100.0,1,0,1,633.0,0.3333333333333333,44.0,Medium,2
C3443,71.0,1,1,0,562.0,0.3333333333333333,56.99999999999999,Medium,2
C3454,104.0,1,0,0,237.0,0.3333333333333333,27.0,Low,2
C3472,55.0,1,0,0,1694.0,0.3333333333333333,67.0,Medium,0
C3479,41.0,1,0,1,929.0,0.3333333333333333,25.0,Low,0
C3482,103.0,1,0,0,475.0,0.3333333333333333,18.0,Low,2
C3489,43.0,1,0,0,287.0,0.3333333333333333,60.0,Medium,2
C3491,42.0,1,1,0,924.0,0.3333333333333333,39.0,Low,2
C3502,80.0,1,0,1,436.0,0.3333333333333333,34.0,Low,2
C3504,107.0,1,0,0,1199.0,0.3333333333333333,52.0,Medium,0
C3511,112.0,1,0,0,112.0,0.3333333333333333,42.0,Medium,2
C3539,117.0,1,0,1,970.0,0.3333333333333333,28.000000000000004,Low,2
C3551,42.0,1,0,1,773.0,0.3333333333333333,38.0,Low,2
C3557,58.0,1,0,0,1196.0,0.3333333333333333,59.0,Medium,0
C3558,44.0,1,1,0,1243.0,0.3333333333333333,62.0,Medium,0
C3560,97.0,1,0,0,465.0,0.3333333333333333,76.0,High,2
C3568,97.0,1,0,0,1019.0,0.3333333333333333,33.0,Low,2
C3590,116.0,1,0,0,1568.0,0.3333333333333333,28.000000000000004,Low,0
C3593,116.0,1,0,1,727.0,0.3333333333333333,62.0,Medium,2
C3612,64.0,1,0,1,1305.0,0.3333333333333333,45.0,Medium,0
C3635,52.0,1,0,1,873.0,0.3333333333333333,24.0,Low,2
C3645,75.0,1,1,0,518.0,0.3333333333333333,53.0,Medium,2
C3674,103.0,1,0,1,1188.0,0.3333333333333333,59.0,Medium,0
C3681,92.0,1,0,0,1461.0,0.3333333333333333,28.999999999999996,Low,0
C3693,74.0,1,1,0,1838.0,0.3333333333333333,19.0,Low,0
C3695,82.0,1,1,0,1091.0,0.3333333333333333,65.0,Medium,2
C3703,50.0,1,0,0,1165.0,0.3333333333333333,2.0,Low,0
C3708,49.0,1,0,0,202.0,0.3333333333333333,47.0,Medium,2
C3712,91.0,1,0,1,1938.0,0.3333333333333333,43.0,Medium,0
C3713,33.0,1,1,0,105.0,0.3333333333333333,61.0,Medium,2
C3717,107.0,1,1,0,910.0,0.3333333333333333,33.0,Low,2
C3731,70.0,1,1,0,636.0,0.3333333333333333,60.0,Medium,2
C3733,106.0,1,0,0,1663.0,0.3333333333333333,52.0,Medium,0
C3734,91.0,1,1,1,1340.0,0.3333333333333333,93.0,High,0
C3738,82.0,1,1,0,585.0,0.3333333333333333,47.0,Medium,2
C3739,63.0,1,1,0,851.0,0.3333333333333333,51.0,Medium,2
C3744,114.0,1,0,0,1831.0,0.3333333333333333,26.0,Low,0
C3745,58.0,1,0,0,1848.0,0.3333333333333333,42.0,Medium,0
C3747,80.0,1,1,0,1811.0,0.3333333333333333,57.99999999999999,Medium,0
C3779,118.0,1,1,1,921.0,0.3333333333333333,30.0,Low,2
C3782,85.0,1,0,0,580.0,0.3333333333333333,56.00000000000001,Medium,2
C3786,73.0,1,0,0,926.0,0.3333333333333333,56.99999999999999,Medium,2
C3790,92.0,1,0,1,794.0,0.3333333333333333,30.0,Low,2
C3797,91.0,1,0,0,570.0,0.3333333333333333,86.0,High,2
C3806,50.0,1,1,0,1594.0,0.3333333333333333,62.0,Medium,0
C3811,44.0,1,0,0,1957.0,0.3333333333333333,41.0,Medium,0
C3814,54.0,1,1,0,1615.0,0.3333333333333333,38.0,Low,0
C3824,53.0,1,0,0,1908.0,0.3333333333333333,41.0,Medium,0
C3832,45.5,2,1,0,1884.0,0.6666666666666666,46.0,Medium,1
C3838,96.0,1,0,0,759.0,0.3333333333333333,44.0,Medium,2
C3839,92.0,1,0,1,369.0,0.3333333333333333,24.0,Low,2
C3849,34.0,1,0,0,1078.0,0.3333333333333333,39.0,Low,0
C3869,57.0,1,0,0,1874.0,0.3333333333333333,53.0,Medium,0
C3871,67.0,1,0,0,1186.0,0.3333333333333333,21.0,Low,0
C3872,82.0,1,0,0,1680.0,0.3333333333333333,77.0,High,0
C3878,30.0,1,1,1,393.0,0.3333333333333333,37.0,Low,2
C3891,47.0,1,0,0,244.0,0.3333333333333333,38.0,Low,2
C3898,31.0,1,0,0,368.0,0.3333333333333333,47.0,Medium,2
C3911,33.0,1,1,1,1927.0,0.3333333333333333,69.0,Medium,0
C3914,99.0,1,0,0,861.0,0.3333333333333333,72.0,High,2
C3923,47.0,1,1,0,1487.0,0.3333333333333333,73.0,High,0
C3931,55.0,1,1,0,631.0,0.3333333333333333,72.0,High,2
C3950,80.0,1,1,0,195.0,0.3333333333333333,57.99999999999999,Medium,2
C3961,111.0,1,0,0,1928.0,0.3333333333333333,38.0,Low,0
C3967,107.0,1,0,0,1300.0,0.3333333333333333,36.0,Low,0
C3975,119.0,1,1,1,335.0,0.3333333333333333,32.0,Low,2
C3976,66.0,1,0,1,975.0,0.3333333333333333,35.0,Low,0
C4005,114.0,1,1,0,155.0,0.3333333333333333,83.0,High,2
C4009,89.0,1,1,1,135.0,0.3333333333333333,73.0,High,2
C4030,94.0,1,0,1,1610.0,0.3333333333333333,15.0,Low,0
C4051,52.0,1,0,1,280.0,0.3333333333333333,30.0,Low,2
C4072,39.0,2,0,1,1439.0,0.6666666666666666,47.0,Medium,1
C4073,82.0,1,0,0,1214.0,0.3333333333333333,68.0,Medium,0
C4086,49.0,1,0,1,1365.0,0.3333333333333333,87.0,High,0
C4099,36.0,1,0,1,614.0,0.3333333333333333,40.0,Medium,2
C4104,98.0,1,0,1,1976.0,0.3333333333333333,43.0,Medium,0
C4108,39.0,1,0,0,618.0,0.3333333333333333,64.0,Medium,2
C4124,114.0,1,0,0,1562.0,0.3333333333333333,26.0,Low,0
C4141,101.0,1,0,0,727.0,0.3333333333333333,59.0,Medium,2
C4147,114.0,1,1,0,147.0,0.3333333333333333,52.0,Medium,2
C4152,76.0,1,1,1,1775.0,0.3333333333333333,56.00000000000001,Medium,0
C4157,74.0,1,0,1,1801.0,0.3333333333333333,56.00000000000001,Medium,0
C4170,71.5,2,1,1,1491.0,0.6666666666666666,53.0,Medium,1
C4177,50.0,2,0,0,1008.0,0.6666666666666666,40.0,Medium,1
C4228,77.0,1,0,1,1995.0,0.3333333333333333,31.0,Low,0
C4242,32.0,1,0,0,1881.0,0.3333333333333333,54.0,Medium,0
C4266,69.0,1,1,1,1594.0,0.3333333333333333,55.00000000000001,Medium,0
C4267,43.0,1,0,1,171.0,0.3333333333333333,22.0,Low,2
C4304,44.0,1,0,1,1100.0,0.3333333333333333,40.0,Medium,0
C4324,48.0,1,1,1,1494.0,0.3333333333333333,64.0,Medium,0
C4327,101.0,1,1,0,209.0,0.3333333333333333,48.0,Medium,2
C4330,116.0,1,1,0,1355.0,0.3333333333333333,39.0,Low,0
C4335,53.0,1,0,0,1657.0,0.3333333333333333,40.0,Medium,0
C4343,51.0,1,1,0,1334.0,0.3333333333333333,49.0,Medium,0
C4345,55.0,1,1,0,825.0,0.3333333333333333,28.999999999999996,Low,2
C4354,106.0,1,0,0,1024.0,0.3333333333333333,41.0,Medium,2
C4368,107.0,1,1,0,857.0,0.3333333333333333,37.0,Low,2
C4373,30.0,1,0,0,857.0,0.3333333333333333,68.0,Medium,0
C4374,118.0,1,1,0,1022.0,0.3333333333333333,57.99999999999999,Medium,2
C4376,38.0,1,0,0,1790.0,0.3333333333333333,55.00000000000001,Medium,0
C4385,50.0,1,1,1,1714.0,0.3333333333333333,50.0,Medium,0
C4391,99.0,1,0,0,1362.0,0.3333333333333333,44.0,Medium,0
C4394,113.0,1,0,1,291.0,0.3333333333333333,37.0,Low,2
C4417,110.0,1,0,0,258.0,0.3333333333333333,62.0,Medium,2
C4419,36.0,1,1,0,895.0,0.3333333333333333,56.99999999999999,Medium,2
C4420,71.0,1,0,1,882.0,0.3333333333333333,37.0,Low,2
C4432,57.0,1,1,0,1906.0,0.3333333333333333,35.0,Low,0
C4436,116.0,1,0,0,1187.0,0.3333333333333333,55.00000000000001,Medium,0
C4440,68.0,1,0,1,386.0,0.3333333333333333,61.0,Medium,2
C4444,68.0,1,1,1,1005.0,0.3333333333333333,20.0,Low,2
C4446,57.0,1,0,0,1754.0,0.3333333333333333,20.0,Low,0
C4472,40.0,1,0,0,1133.0,0.3333333333333333,17.0,Low,0
C4476,71.0,1,1,1,270.0,0.3333333333333333,47.0,Medium,2
C4486,79.0,2,2,1,1357.5,0.6666666666666666,12.0,Low,1
C4490,50.0,1,1,1,701.0,0.3333333333333333,65.0,Medium,2
C4506,46.0,1,0,0,1562.0,0.3333333333333333,42.0,Medium,0
C4507,119.0,1,1,0,1436.0,0.3333333333333333,28.000000000000004,Low,0
C4510,32.0,1,1,0,474.0,0.3333333333333333,67.0,Medium,2
C4517,52.0,1,1,0,816.0,0.3333333333333333,88.0,High,2
C4530,89.0,1,1,0,689.0,0.3333333333333333,28.999999999999996,Low,2
C4531,71.0,1,0,0,1843.0,0.3333333333333333,60.0,Medium,0
C4556,102.0,1,0,1,554.0,0.3333333333333333,17.0,Low,2
C4561,81.0,1,0,0,1565.0,0.3333333333333333,8.0,Low,0
C4572,70.0,1,0,0,593.0,0.3333333333333333,48.0,Medium,2
C4579,107.0,1,0,0,251.0,0.3333333333333333,51.0,Medium,2
C4581,82.0,1,0,0,1187.0,0.3333333333333333,30.0,Low,0
C4584,107.0,1,1,1,1444.0,0.3333333333333333,54.0,Medium,0
C4596,51.0,1,1,0,1816.0,0.3333333333333333,74.0,High,0
C4600,85.0,1,0,1,1505.0,0.3333333333333333,28.999999999999996,Low,0
C4627,74.0,2,2,0,313.0,0.6666666666666666,52.0,Medium,1
C4636,55.5,2,0,0,1487.5,0.6666666666666666,46.0,Medium,1
C4644,56.0,1,0,0,1266.0,0.3333333333333333,37.0,Low,0
C4672,60.0,1,0,0,1551.0,0.3333333333333333,36.0,Low,0
C4687,84.0,1,0,0,809.0,0.3333333333333333,39.0,Low,2
C4696,87.0,1,0,0,1778.0,0.3333333333333333,70.0,High,0
C4701,41.0,1,1,0,556.0,0.3333333333333333,38.0,Low,2
C4709,104.0,1,0,0,1948.0,0.3333333333333333,88.0,High,0
C4719,58.5,2,0,0,1136.0,0.6666666666666666,22.0,Low,1
