region,month,hours_per_week,deliveries_per_day,income_mean,income_variability,stress_level,work_life_balance,burnout_risk
Frankfurt,8,42.1,15.5,1094.0,0.78,4.3,7.1,0
Hamburg,1,39.0,7.7,800.0,0.47,3.3,7.4,0
Hamburg,9,63.5,19.6,1708.0,0.9,8.6,1.0,1
Berlin,9,44.9,15.8,1420.0,0.88,6.6,2.7,1
Munich,4,34.4,5.0,800.0,0.5,4.6,6.6,0
Hamburg,1,53.2,18.0,1388.0,0.72,4.8,4.6,1
Frankfurt,4,32.8,11.4,800.0,0.9,6.3,4.9,0
Cologne,6,47.1,12.1,1132.0,0.59,2.4,8.1,0
Berlin,4,25.4,9.3,800.0,0.77,1.0,9.1,0
Cologne,9,31.7,10.6,1288.0,0.61,3.0,6.3,0
Cologne,4,47.0,12.1,1010.0,0.9,8.1,1.8,1
Munich,10,52.4,20.2,1854.0,0.57,4.9,5.3,0
Cologne,8,46.7,18.1,1244.0,0.73,4.4,6.6,0
Munich,2,43.8,13.7,1102.0,0.44,2.2,6.9,0
Frankfurt,12,42.0,13.4,1195.0,0.62,5.6,4.1,0
Cologne,7,30.2,12.3,800.0,0.59,4.5,5.6,0
Cologne,8,37.8,12.0,964.0,0.47,5.0,5.7,0
Cologne,6,40.4,7.7,824.0,0.45,3.1,6.0,0
Frankfurt,10,55.6,20.0,1533.0,0.68,4.5,4.2,1
Hamburg,6,48.4,13.7,926.0,0.42,2.9,7.8,0
Hamburg,8,27.4,8.0,997.0,0.42,2.9,5.6,0
Frankfurt,3,48.2,20.5,1402.0,0.9,3.2,8.1,0
Berlin,2,41.1,13.3,1096.0,0.57,2.3,7.5,0
Berlin,9,38.2,12.7,878.0,0.6,3.2,5.3,0
Munich,8,51.1,18.6,1298.0,0.58,4.4,5.1,0
Frankfurt,10,55.3,20.0,1745.0,0.74,4.7,5.7,1
Berlin,5,54.3,15.3,1187.0,0.86,6.1,3.3,1
Munich,5,36.6,12.0,1043.0,0.64,3.8,6.2,0
Cologne,6,41.9,14.1,800.0,0.62,3.8,7.0,0
Cologne,6,48.3,16.9,1454.0,0.88,5.1,4.7,0
Berlin,2,54.8,19.1,1385.0,0.9,4.0,5.1,1
Munich,7,40.2,21.2,1317.0,0.9,4.2,5.5,0
Munich,3,43.1,10.9,1245.0,0.5,4.5,6.9,0
Hamburg,8,33.9,14.3,1260.0,0.65,1.1,10.0,0
Berlin,9,33.0,14.6,1210.0,0.44,4.8,3.2,0
Hamburg,3,53.1,19.2,1785.0,0.78,4.0,7.1,1
Frankfurt,6,58.6,17.6,1455.0,0.78,6.0,4.3,1
Munich,8,44.3,19.8,1421.0,0.8,6.2,4.7,0
Hamburg,6,55.0,11.8,907.0,0.9,6.9,2.6,1
Munich,10,48.6,14.2,997.0,0.89,4.9,3.3,1
Frankfurt,3,38.5,16.4,1209.0,0.8,3.3,7.3,0
Hamburg,4,48.6,15.1,956.0,0.54,6.3,2.8,0
Frankfurt,9,60.4,24.9,1799.0,0.9,7.1,1.6,1
Munich,12,44.6,10.3,1007.0,0.87,3.5,5.1,0
Munich,12,60.6,16.9,1417.0,0.48,4.9,5.7,0
Cologne,11,20.0,5.1,800.0,0.44,1.0,9.1,0
Munich,12,53.2,19.0,1314.0,0.9,5.6,5.2,1
Cologne,1,45.9,14.6,1089.0,0.72,4.5,6.2,0
Frankfurt,4,42.0,12.5,800.0,0.9,5.9,3.7,1
Berlin,10,45.9,19.6,1591.0,0.76,5.1,4.8,0
Frankfurt,1,25.1,12.9,1222.0,0.9,4.5,5.0,0
Cologne,8,42.8,13.0,1515.0,0.9,3.2,6.6,0
Berlin,7,48.6,11.1,800.0,0.7,6.6,2.5,1
Cologne,7,59.8,13.5,1257.0,0.69,5.2,5.2,1
Munich,2,39.8,14.0,978.0,0.72,5.1,5.9,0
Cologne,10,36.9,14.3,916.0,0.34,1.5,7.7,0
Berlin,6,40.0,13.5,856.0,0.66,4.4,6.9,0
Cologne,8,54.2,17.8,1455.0,0.79,2.4,7.7,1
Hamburg,8,48.3,13.7,908.0,0.9,4.4,5.8,0
Hamburg,5,39.7,15.2,1095.0,0.9,4.6,3.7,1
Frankfurt,8,50.1,21.7,1652.0,0.42,4.2,4.0,1
Frankfurt,2,46.0,8.7,800.0,0.82,3.0,7.1,0
Berlin,4,54.7,18.0,1277.0,0.84,6.7,4.1,1
Cologne,10,38.0,9.7,800.0,0.51,3.6,5.7,0
Munich,2,41.7,9.4,800.0,0.67,3.4,8.2,0
Berlin,5,41.1,10.3,838.0,0.9,4.2,6.6,0
Berlin,11,30.4,11.3,800.0,0.81,7.0,2.1,1
Berlin,3,48.0,17.2,1448.0,0.9,6.5,3.5,1
Frankfurt,6,47.6,20.3,1899.0,0.9,6.5,6.0,0
Berlin,7,45.1,15.0,1208.0,0.75,5.2,3.6,1
Cologne,6,42.7,8.9,982.0,0.6,4.5,6.0,0
Berlin,11,30.8,9.6,1213.0,0.26,1.0,8.7,0
Munich,2,40.8,9.4,1261.0,0.72,3.1,7.6,0
Berlin,2,41.6,10.2,800.0,0.72,3.4,7.8,0
Frankfurt,4,37.0,14.1,889.0,0.56,1.0,8.6,0
Frankfurt,7,43.4,15.0,1115.0,0.65,2.6,8.5,0
Munich,8,49.0,18.1,1475.0,0.8,1.9,10.0,0
Berlin,5,63.9,20.2,1935.0,0.71,6.3,3.7,1
Berlin,10,46.7,18.0,1562.0,0.83,5.9,4.9,0
Berlin,1,47.6,14.6,929.0,0.9,6.4,3.0,1
Frankfurt,9,44.3,18.1,1326.0,0.58,5.0,5.0,0
Berlin,8,25.8,9.6,800.0,0.81,1.1,8.7,0
Frankfurt,1,44.7,14.3,845.0,0.72,1.6,9.2,0
Frankfurt,9,45.6,15.8,1270.0,0.33,1.9,9.3,0
Cologne,5,69.6,23.2,1615.0,0.9,5.1,4.8,1
Hamburg,8,43.1,19.1,1202.0,0.9,3.0,8.6,0
Frankfurt,10,48.0,16.7,1150.0,0.9,4.6,7.0,0
Hamburg,10,44.7,14.9,1273.0,0.6,2.9,7.9,0
Cologne,12,33.3,10.4,912.0,0.9,3.8,5.6,0
Hamburg,2,56.4,21.3,1726.0,0.54,5.3,4.1,0
Hamburg,7,52.5,19.6,1769.0,0.79,5.3,3.9,1
Munich,9,52.9,16.8,1522.0,0.65,7.0,3.9,1
Munich,7,35.9,8.5,800.0,0.55,1.8,7.0,0
Hamburg,9,59.0,17.0,1371.0,0.9,6.5,4.1,1
Frankfurt,4,31.0,9.8,808.0,0.83,3.1,5.8,0
Berlin,5,50.9,21.0,1651.0,0.9,4.6,6.2,1
Berlin,7,66.9,21.6,1289.0,0.81,8.0,2.0,1
Cologne,1,35.1,9.9,1020.0,0.9,4.8,6.5,0
Frankfurt,2,39.3,7.8,800.0,0.55,2.5,8.6,0
Hamburg,2,46.0,19.9,1347.0,0.44,4.3,7.1,0
Munich,10,40.0,15.0,1488.0,0.8,4.4,7.0,0
Berlin,9,29.5,12.2,860.0,0.54,2.5,7.6,0
Hamburg,3,45.7,18.1,1428.0,0.56,5.4,3.4,0
Berlin,9,34.4,11.0,1082.0,0.9,3.9,5.1,0
Munich,1,49.7,16.8,1391.0,0.9,7.7,1.0,1
Munich,11,35.8,16.4,1579.0,0.83,1.3,7.6,0
Frankfurt,3,60.5,20.7,1586.0,0.84,5.9,4.2,1
Hamburg,10,37.2,14.2,1470.0,0.36,2.4,7.1,0
Hamburg,2,41.8,16.5,1167.0,0.47,5.1,4.7,0
Cologne,2,53.1,19.6,1835.0,0.88,2.9,7.6,1
Cologne,1,32.7,10.5,800.0,0.41,3.8,5.9,0
Munich,6,47.3,15.7,1032.0,0.76,3.8,5.1,0
Frankfurt,5,58.1,21.7,1795.0,0.61,4.7,5.2,1
Hamburg,12,28.9,12.0,877.0,0.66,1.0,8.1,0
Frankfurt,5,46.8,19.1,1515.0,0.57,4.0,5.7,0
Munich,11,47.6,17.5,1410.0,0.54,6.4,5.0,0
Munich,9,52.8,19.4,1313.0,0.9,5.2,4.5,1
Cologne,6,32.6,9.5,800.0,0.6,4.2,7.6,0
Cologne,9,31.8,8.9,800.0,0.81,5.7,5.8,0
Hamburg,4,50.2,19.1,1393.0,0.9,5.4,4.0,1
Frankfurt,7,48.0,14.3,1410.0,0.82,4.0,4.9,0
Munich,11,47.5,15.8,1223.0,0.68,5.5,4.5,0
Cologne,4,48.5,20.3,1767.0,0.85,4.0,7.1,0
Frankfurt,1,38.2,16.4,1400.0,0.9,3.1,6.4,0
Munich,4,47.3,16.7,1214.0,0.69,2.5,8.5,0
Frankfurt,2,47.9,15.1,811.0,0.9,6.2,5.0,0
Berlin,5,37.9,12.2,1217.0,0.88,3.2,6.0,0
Berlin,11,63.7,23.8,1710.0,0.9,6.6,2.7,1
Cologne,2,49.7,16.5,1237.0,0.58,3.4,7.3,0
Berlin,2,33.1,9.4,800.0,0.9,4.0,6.2,0
Munich,12,51.6,20.8,1657.0,0.42,4.0,5.3,0
Cologne,11,35.3,12.3,1176.0,0.9,3.3,6.3,0
Frankfurt,12,52.9,15.9,1273.0,0.68,6.6,3.3,1
Hamburg,4,56.6,20.3,1598.0,0.81,6.8,1.6,1
Berlin,7,36.8,15.2,1418.0,0.9,3.6,7.1,0
Berlin,3,54.6,15.2,1335.0,0.49,2.8,6.7,0
Cologne,11,49.1,15.8,1115.0,0.8,9.4,1.0,1
Munich,12,53.2,17.0,1131.0,0.9,7.9,2.0,1
Berlin,7,64.0,22.7,1650.0,0.9,7.5,1.8,1
Frankfurt,11,42.5,16.1,1276.0,0.36,3.1,8.6,0
Munich,9,37.5,10.8,800.0,0.65,3.6,5.8,0
Berlin,3,36.1,7.6,800.0,0.63,2.8,6.1,0
Berlin,4,36.8,15.4,1204.0,0.64,5.6,4.9,0
Frankfurt,1,44.2,11.4,800.0,0.77,4.8,4.5,0
Berlin,7,48.4,17.0,1075.0,0.48,3.7,5.6,0
Munich,1,47.8,15.5,800.0,0.6,4.1,6.4,0
Hamburg,12,53.3,18.2,1391.0,0.9,7.0,2.0,1
Hamburg,3,45.1,20.0,1815.0,0.9,6.9,1.6,1
Berlin,9,59.5,29.0,1939.0,0.9,8.2,3.5,1
Cologne,12,42.4,9.2,800.0,0.51,5.4,5.2,0
Munich,5,70.0,26.3,2070.0,0.9,6.6,3.1,1
Hamburg,10,51.3,16.6,1117.0,0.79,1.0,9.0,1
Cologne,10,36.4,15.3,1009.0,0.71,4.1,6.4,0
Hamburg,11,34.3,14.3,1252.0,0.67,3.4,7.5,0
Cologne,2,49.8,20.8,1568.0,0.9,5.2,4.1,0
Berlin,9,42.8,15.1,911.0,0.8,4.4,6.0,0
Cologne,6,52.1,14.7,800.0,0.84,3.2,6.3,1
Berlin,9,49.7,19.4,1991.0,0.88,5.8,4.0,0
Cologne,12,44.3,15.1,1435.0,0.6,5.4,4.8,0
Cologne,11,36.5,11.5,828.0,0.6,4.7,5.3,0
Cologne,4,29.9,8.5,800.0,0.82,4.4,6.3,0
Munich,6,40.5,16.5,1225.0,0.72,5.0,5.5,0
Hamburg,12,53.6,22.7,1915.0,0.68,4.7,3.8,1
Cologne,7,47.1,12.1,800.0,0.44,4.6,4.0,0
Berlin,11,32.5,12.7,908.0,0.9,3.4,6.2,0
Cologne,6,46.7,14.5,1248.0,0.9,4.8,7.0,0
Munich,4,48.9,11.9,1241.0,0.8,6.4,2.8,1
Munich,8,36.2,12.5,1148.0,0.85,4.6,5.2,0
Munich,6,46.5,13.0,1288.0,0.7,7.8,1.7,1
Cologne,2,45.6,10.5,800.0,0.9,7.9,1.6,1
Cologne,12,33.6,8.8,800.0,0.64,3.5,6.7,0
Cologne,6,48.6,13.1,800.0,0.64,1.0,10.0,0
Hamburg,1,50.6,14.9,1209.0,0.83,6.9,3.5,1
Cologne,9,55.8,14.6,1246.0,0.74,4.8,4.4,1
Frankfurt,10,55.5,17.3,1326.0,0.6,4.4,8.4,0
Munich,12,31.2,8.3,800.0,0.36,2.5,7.6,0
Cologne,7,35.6,13.0,1289.0,0.89,2.9,6.5,0
Hamburg,8,50.2,18.5,1606.0,0.5,5.9,5.5,0
Berlin,12,50.1,17.5,1662.0,0.5,2.7,6.9,0
Munich,11,50.2,16.0,1090.0,0.64,3.4,8.3,1
Cologne,4,70.0,22.5,1662.0,0.77,7.5,1.6,1
Cologne,8,50.7,14.4,1392.0,0.83,6.0,5.4,1
Berlin,12,56.4,16.3,1298.0,0.81,6.6,3.6,1
Hamburg,1,54.5,20.3,1509.0,0.57,4.3,7.0,0
Frankfurt,11,51.5,11.9,851.0,0.44,3.7,8.2,0
Berlin,4,41.8,13.7,1094.0,0.45,3.4,5.4,0
Hamburg,6,52.6,16.6,1525.0,0.77,5.6,5.7,1
Hamburg,10,37.3,14.2,1106.0,0.9,6.0,2.6,1
Cologne,7,42.6,9.9,953.0,0.32,1.2,7.8,0
Cologne,12,40.1,13.4,1167.0,0.79,3.7,5.5,0
Munich,3,45.8,16.3,1128.0,0.8,2.6,7.9,0
Cologne,10,68.1,17.0,1184.0,0.58,4.3,5.7,0
Cologne,10,26.3,5.6,800.0,0.81,4.1,5.7,0
Hamburg,2,51.9,17.0,1094.0,0.9,6.0,4.1,1
Cologne,9,28.9,11.2,800.0,0.8,3.6,7.0,0
Cologne,1,40.3,14.0,1421.0,0.9,5.4,5.3,0
Cologne,10,55.9,20.3,1619.0,0.68,4.9,6.2,1
Frankfurt,1,45.6,12.0,805.0,0.54,3.9,7.9,0
Frankfurt,10,34.2,6.6,914.0,0.86,6.7,3.3,1
Munich,2,37.8,12.9,843.0,0.41,3.4,6.1,0
Berlin,5,51.8,13.6,894.0,0.71,6.3,4.3,1
Hamburg,1,37.7,10.0,1043.0,0.9,3.8,5.1,0
Munich,6,47.2,18.5,1614.0,0.62,1.9,7.4,0
Hamburg,8,45.5,15.7,1232.0,0.54,1.5,9.5,0
Berlin,10,38.5,11.1,1056.0,0.51,3.0,6.9,0
Berlin,2,66.4,20.1,1664.0,0.76,8.2,1.0,1
Munich,5,51.3,19.0,1281.0,0.66,6.3,2.2,1
Frankfurt,3,24.7,8.9,800.0,0.89,3.8,6.2,0
Frankfurt,2,46.9,12.0,845.0,0.9,3.2,7.9,0
Frankfurt,6,38.4,7.0,800.0,0.83,6.3,4.9,0
Cologne,1,53.5,23.5,1793.0,0.44,3.9,6.2,0
Cologne,12,37.1,8.7,800.0,0.85,4.0,8.0,0
Munich,8,43.9,16.2,1333.0,0.9,4.4,5.5,0
Cologne,6,50.0,21.2,1359.0,0.9,4.7,5.1,1
Hamburg,4,53.7,18.3,1385.0,0.9,7.4,1.0,1
Munich,12,33.0,9.2,808.0,0.62,2.2,7.3,0
Munich,5,41.7,9.6,800.0,0.68,2.1,8.7,0
Berlin,2,40.3,9.1,800.0,0.41,4.1,7.5,0
Berlin,8,38.5,14.0,1195.0,0.76,3.2,5.9,0
Munich,6,62.7,25.2,2034.0,0.9,10.0,1.0,1
Frankfurt,6,49.0,15.2,1422.0,0.9,5.9,5.1,0
Berlin,3,32.4,9.1,807.0,0.67,2.6,7.4,0
Cologne,1,54.2,20.2,1421.0,0.81,3.8,3.9,1
Munich,8,66.2,20.0,1506.0,0.77,3.8,6.4,1
Hamburg,12,55.3,19.3,1545.0,0.47,4.0,6.8,0
Munich,7,29.8,10.1,1073.0,0.9,3.2,5.9,0
Hamburg,12,40.2,12.2,878.0,0.88,6.2,3.6,1
Berlin,1,57.7,19.2,1188.0,0.9,7.4,1.4,1
Frankfurt,12,37.9,17.9,1523.0,0.61,4.1,3.3,1
Hamburg,8,49.4,18.3,1312.0,0.9,4.5,6.6,0
Frankfurt,10,52.7,20.9,1412.0,0.79,5.7,4.3,1
Hamburg,2,35.7,9.2,800.0,0.75,2.8,8.8,0
Frankfurt,11,44.4,18.1,1642.0,0.9,7.0,3.8,1
Hamburg,8,20.0,8.6,800.0,0.84,1.7,7.9,0
Munich,5,34.8,7.1,800.0,0.75,3.3,6.6,0
Munich,8,42.5,15.8,1399.0,0.35,1.0,9.6,0
Berlin,11,32.5,9.3,902.0,0.9,3.0,8.0,0
Munich,12,61.3,15.8,1118.0,0.9,7.4,2.9,1
Cologne,6,30.7,10.6,800.0,0.34,1.5,9.6,0
Berlin,2,40.6,15.2,1015.0,0.62,2.9,6.8,0
Munich,7,46.3,15.9,1429.0,0.82,5.8,3.2,1
Munich,11,59.4,19.5,1692.0,0.44,3.7,6.2,0
Cologne,11,30.6,9.2,800.0,0.55,4.7,5.6,0
Frankfurt,6,56.6,26.3,2529.0,0.77,4.9,3.9,1
Munich,4,45.1,11.5,800.0,0.9,3.9,4.7,0
Hamburg,9,35.2,14.3,1348.0,0.31,1.8,8.6,0
Frankfurt,4,49.6,16.6,1631.0,0.9,5.5,4.1,0
Hamburg,1,47.0,13.1,1070.0,0.9,8.4,1.4,1
Frankfurt,3,39.0,12.9,874.0,0.9,5.1,4.6,0
Hamburg,11,45.7,11.1,800.0,0.59,3.3,8.2,0
Munich,8,41.1,11.9,902.0,0.79,5.8,5.4,0
Hamburg,3,46.1,15.2,1435.0,0.65,4.1,4.6,0
Munich,7,51.6,12.6,800.0,0.9,7.2,2.2,1
Cologne,11,60.9,21.8,1377.0,0.88,7.3,3.6,1
Hamburg,1,32.6,8.0,800.0,0.3,1.0,9.6,0
Berlin,4,66.3,17.8,1537.0,0.62,5.1,4.8,1
Berlin,4,25.5,5.3,814.0,0.68,4.0,4.9,0
Hamburg,9,43.5,21.0,1405.0,0.9,4.6,4.7,0
Munich,12,50.9,11.0,855.0,0.72,3.6,5.9,1
Frankfurt,11,47.8,17.2,1612.0,0.81,3.8,6.4,0
Cologne,1,38.8,10.7,878.0,0.3,1.0,10.0,0
Hamburg,11,42.9,13.3,1021.0,0.9,4.2,5.2,0
Cologne,12,40.1,15.2,1371.0,0.89,7.3,1.7,1
Munich,9,39.1,14.7,1056.0,0.9,5.1,4.8,0
Berlin,10,53.5,15.8,1433.0,0.9,8.6,2.4,1
Munich,8,48.6,12.1,800.0,0.9,6.2,2.4,1
Munich,10,38.1,14.6,861.0,0.75,5.3,6.1,0
Hamburg,6,54.0,19.7,1518.0,0.7,8.4,1.5,1
Cologne,11,48.1,15.2,800.0,0.63,5.4,3.9,1
Frankfurt,4,53.1,19.0,1540.0,0.49,5.0,3.4,1
Cologne,11,51.3,15.8,914.0,0.8,6.7,4.0,1
Frankfurt,6,36.7,9.8,837.0,0.88,5.9,4.0,1
Berlin,6,39.4,13.1,1089.0,0.51,3.2,7.0,0
Cologne,2,52.5,19.0,1510.0,0.7,4.2,4.9,1
Frankfurt,7,51.1,18.0,1524.0,0.74,5.3,4.4,1
Cologne,9,44.8,16.5,1357.0,0.81,5.7,3.8,1
Munich,8,46.2,13.1,990.0,0.6,5.8,4.1,0
Berlin,3,57.8,24.0,2287.0,0.7,3.6,5.7,1
Cologne,8,39.1,12.0,1039.0,0.76,6.8,1.7,1
Munich,4,50.5,16.5,1472.0,0.58,4.1,8.6,0
Munich,10,43.0,10.4,1044.0,0.75,3.9,4.7,0
Berlin,1,42.8,13.7,1229.0,0.44,2.9,7.3,0
Cologne,3,56.0,20.3,2033.0,0.9,9.6,1.0,1
Hamburg,1,53.3,20.0,1636.0,0.9,5.7,2.3,1
Hamburg,5,53.1,22.4,1790.0,0.8,4.0,6.1,1
Hamburg,10,58.1,20.9,1543.0,0.74,7.1,3.1,1
Munich,11,45.2,15.9,1221.0,0.86,5.7,5.6,0
Cologne,9,51.8,15.9,1128.0,0.81,4.9,5.5,1
Frankfurt,7,41.9,12.0,1094.0,0.71,5.5,4.4,0
Cologne,3,48.2,19.0,1337.0,0.55,3.6,5.5,0
Berlin,7,43.7,17.4,1408.0,0.48,3.6,7.9,0
Frankfurt,12,46.0,12.1,1079.0,0.41,1.6,9.3,0
Berlin,8,51.0,19.2,1562.0,0.75,3.1,5.6,1
Cologne,4,36.8,14.2,959.0,0.9,6.4,3.6,1
Berlin,3,65.9,18.6,1630.0,0.88,9.1,1.1,1
Munich,2,34.9,13.3,1044.0,0.45,3.6,6.1,0
Hamburg,8,32.9,7.8,800.0,0.5,5.8,5.0,0
Cologne,3,56.6,11.6,800.0,0.71,5.4,5.4,1
Frankfurt,7,52.9,17.2,1653.0,0.59,4.9,4.9,0
Frankfurt,11,51.2,17.9,1725.0,0.65,5.2,4.5,1
Berlin,11,51.3,16.7,1445.0,0.59,4.9,6.6,0
Hamburg,11,44.9,23.6,2042.0,0.81,4.2,6.8,0
Cologne,2,36.0,13.1,896.0,0.85,5.3,4.8,0
Munich,5,45.8,15.7,1203.0,0.9,4.8,3.6,1
Berlin,5,38.2,14.0,1370.0,0.86,4.9,5.5,0
Cologne,9,54.8,16.9,1439.0,0.65,7.0,3.7,1
Cologne,8,43.5,17.3,1397.0,0.9,4.9,2.3,1
Hamburg,8,36.7,13.3,1029.0,0.42,2.2,8.0,0
Frankfurt,10,41.8,14.9,1425.0,0.64,2.1,7.4,0
Hamburg,2,49.1,14.5,1385.0,0.5,5.1,4.6,0
Berlin,2,39.4,8.4,804.0,0.41,3.7,5.4,0
Berlin,12,36.8,10.8,874.0,0.67,3.8,6.0,0
Hamburg,10,47.4,16.7,1261.0,0.5,4.7,6.7,0
Cologne,7,47.4,14.5,1297.0,0.82,8.6,1.0,1
Frankfurt,12,39.9,14.2,914.0,0.5,2.0,9.0,0
Berlin,4,40.3,12.7,840.0,0.71,1.0,8.1,0
Hamburg,3,47.3,17.1,1075.0,0.66,5.2,5.5,0
Berlin,3,30.5,7.2,826.0,0.62,2.5,7.5,0
Frankfurt,7,30.9,10.9,800.0,0.84,3.6,6.8,0
Munich,1,37.8,10.7,935.0,0.56,4.7,5.3,0
Munich,4,42.9,9.7,800.0,0.9,6.2,4.4,0
Cologne,6,48.1,15.5,1823.0,0.83,2.6,4.9,0
Cologne,9,59.8,24.5,2051.0,0.9,5.1,3.4,1
Munich,12,53.6,13.5,800.0,0.77,6.0,4.4,1
Frankfurt,1,43.4,14.8,1421.0,0.7,5.5,2.5,1
Hamburg,1,44.8,17.3,1309.0,0.9,7.8,1.7,1
Hamburg,2,35.0,18.6,1444.0,0.48,4.9,5.0,0
Frankfurt,7,44.8,13.5,942.0,0.44,4.4,4.8,0
Hamburg,7,42.1,12.1,1010.0,0.54,2.9,6.4,0
Cologne,5,48.2,12.6,1043.0,0.84,4.0,6.3,0
Hamburg,4,36.7,15.7,1124.0,0.41,2.8,8.2,0
Hamburg,10,50.2,14.1,1029.0,0.88,6.0,3.0,1
Cologne,6,60.3,19.0,1540.0,0.68,6.4,3.0,1
Berlin,8,43.9,9.1,800.0,0.71,2.4,6.9,0
Munich,12,49.0,19.0,1231.0,0.69,4.2,3.3,1
Hamburg,7,51.9,20.8,1996.0,0.59,6.5,3.6,1
Munich,2,41.0,16.2,1362.0,0.58,4.6,6.3,0
Munich,11,47.2,10.9,800.0,0.61,5.6,5.4,0
Frankfurt,2,45.1,16.9,1010.0,0.55,5.1,4.0,0
Frankfurt,6,46.0,10.3,813.0,0.83,7.0,1.7,1
Frankfurt,12,37.3,12.6,1205.0,0.9,4.1,5.9,0
Berlin,1,45.2,15.7,1784.0,0.79,3.9,6.9,0
Berlin,5,50.0,17.6,1786.0,0.88,3.6,6.5,0
Munich,1,59.5,21.4,1538.0,0.9,6.3,4.0,1
Munich,7,54.6,18.2,1355.0,0.61,1.8,9.3,1
Munich,3,66.5,16.3,1009.0,0.66,6.4,2.9,1
Munich,9,37.3,14.0,955.0,0.9,3.4,6.4,0
Cologne,5,53.7,18.2,1413.0,0.79,3.3,8.3,1
Munich,1,46.8,12.9,959.0,0.9,3.3,6.5,0
Frankfurt,10,66.9,17.6,1818.0,0.9,7.9,1.0,1
Munich,4,36.9,16.9,1091.0,0.87,4.0,5.3,0
Frankfurt,8,36.6,15.9,1263.0,0.9,3.8,5.2,0
Frankfurt,7,39.0,15.1,800.0,0.87,4.4,6.0,0
Munich,6,23.8,5.9,800.0,0.66,2.5,6.6,0
Munich,9,39.7,5.7,800.0,0.78,5.8,4.4,0
Hamburg,12,37.4,14.8,1402.0,0.89,3.9,5.3,0
Frankfurt,12,46.5,16.6,1270.0,0.79,2.5,5.4,0
Munich,4,48.4,15.0,921.0,0.78,7.3,3.0,1
Munich,10,63.8,24.6,1550.0,0.85,6.9,3.2,1
Hamburg,12,54.5,20.7,1461.0,0.81,4.6,6.0,1
Cologne,1,39.2,13.6,1136.0,0.32,2.0,7.3,0
Frankfurt,12,36.0,12.1,1053.0,0.56,4.2,5.0,0
Frankfurt,10,49.9,16.8,1244.0,0.59,4.8,5.6,0
Hamburg,6,31.8,12.6,1196.0,0.9,5.5,6.0,0
Cologne,4,63.3,18.5,1255.0,0.69,5.8,4.2,1
Berlin,1,56.8,20.2,1031.0,0.75,4.4,6.0,1
Hamburg,10,40.3,10.7,910.0,0.9,5.4,4.3,0
Munich,3,27.9,13.3,1322.0,0.56,4.2,4.3,0
Munich,11,58.5,21.1,1949.0,0.58,6.1,4.9,0
Munich,1,43.9,12.6,800.0,0.9,5.4,5.5,0
Berlin,5,57.4,19.4,1440.0,0.9,5.7,5.0,1
Munich,8,29.1,7.1,800.0,0.47,3.3,6.6,0
Berlin,12,39.0,17.5,1276.0,0.9,5.6,4.9,0
Hamburg,2,45.1,19.9,1612.0,0.9,5.4,5.5,0
Berlin,12,45.5,17.2,1236.0,0.9,4.3,7.3,0
Munich,6,40.5,18.2,1236.0,0.67,6.1,4.9,0
Frankfurt,6,51.2,17.5,1223.0,0.55,1.6,8.5,0
Munich,5,34.3,13.7,1290.0,0.9,6.5,2.2,1
Berlin,7,43.6,18.2,1459.0,0.52,1.8,8.4,0
